Time [s], Analyzer Name, Decoded Protocol Result
3.720037541666667,SPI,MOSI: 0xFFFF
3.740045208333334,SPI,MOSI: 0xFFFF
3.760040833333333,SPI,MOSI: 0xFFFF
3.780036500000000,SPI,MOSI: 0xFFFF
3.800044166666666,SPI,MOSI: 0xFFFF
3.820039791666667,SPI,MOSI: 0xFFFF
3.840047458333333,SPI,MOSI: 0xFFFF
3.860043125000000,SPI,MOSI: 0xFFFF
3.880038750000000,SPI,MOSI: 0xFFFF
3.900046416666667,SPI,MOSI: 0xFFFF
3.920042083333333,SPI,MOSI: 0xFFFF
3.940037708333334,SPI,MOSI: 0xFFFF
3.960045375000000,SPI,MOSI: 0xFFFF
3.980041041666667,SPI,MOSI: 0xFFFF
4.000048708333333,SPI,MOSI: 0xFFFF
4.020044333333334,SPI,MOSI: 0xFFFF
4.040039958333334,SPI,MOSI: 0xFFFF
4.060047666666667,SPI,MOSI: 0xFFFF
4.080043291666667,SPI,MOSI: 0xFFFF
4.100038916666667,SPI,MOSI: 0xFFFF
4.120046583333333,SPI,MOSI: 0xFFFF
4.140042250000000,SPI,MOSI: 0xFFFF
4.160049916666667,SPI,MOSI: 0xFFFF
4.180045541666667,SPI,MOSI: 0xFFFF
4.200041208333333,SPI,MOSI: 0xFFFF
4.220048875000000,SPI,MOSI: 0xFFFF
4.240044500000000,SPI,MOSI: 0xFFFF
4.260040166666666,SPI,MOSI: 0xFFFF
4.280047833333334,SPI,MOSI: 0xFFFF
4.300043458333334,SPI,MOSI: 0xFFFF
4.320051125000000,SPI,MOSI: 0xFFFF
4.340046791666667,SPI,MOSI: 0xFFFF
4.360042416666666,SPI,MOSI: 0xFFFF
4.380050083333333,SPI,MOSI: 0xFFFF
4.400045708333334,SPI,MOSI: 0xFFFF
4.420041375000000,SPI,MOSI: 0xFFFF
4.440049041666667,SPI,MOSI: 0xFFFF
4.460044666666667,SPI,MOSI: 0xFFFF
4.480052333333333,SPI,MOSI: 0xFFFF
4.500048000000000,SPI,MOSI: 0xFFFF
4.520043625000000,SPI,MOSI: 0xFFFF
4.540051291666667,SPI,MOSI: 0xFFFF
4.560046958333333,SPI,MOSI: 0xFFFF
4.580042583333333,SPI,MOSI: 0xFFFF
4.600050250000000,SPI,MOSI: 0xFFFF
4.620045916666666,SPI,MOSI: 0xFFFF
4.640053583333334,SPI,MOSI: 0xFFFF
4.660049208333334,SPI,MOSI: 0xFFFF
4.680044875000000,SPI,MOSI: 0xFFFF
4.700052541666667,SPI,MOSI: 0xFFFF
4.720048166666666,SPI,MOSI: 0xFFFF
4.740043791666666,SPI,MOSI: 0xFFFF
4.760051500000000,SPI,MOSI: 0xFFFF
4.780047125000000,SPI,MOSI: 0xFFFF
4.800054791666667,SPI,MOSI: 0xFFFF
